category,number,name,team,year,brand,set,flags,front_image,back_image
Baseball,MS-3,Marcell Ozuna,Atlanta Braves,2021,Select,2021 Panini Select - Moon Shots,,https://storage.googleapis.com/collx-user-cards/232360-369095195-front.jpg,
Baseball,95,Daulton Jefferies,Oakland Athletics,2021,Prizm,2021 Panini Prizm,RC,https://storage.googleapis.com/collx-user-cards/232360-369095125-front.jpg,
Baseball,67,Deivi Garcia,New York Yankees,2021,Panini,2021 Panini Select,RC,https://storage.googleapis.com/collx-user-cards/232360-369094934-front.jpg,
Baseball,178,Brady Singer,Kansas City Royals,2021,Select,2021 Panini Select,RC,https://storage.googleapis.com/collx-user-cards/232360-369094637-front.jpg,
Baseball,163,Anderson Tejeda,Texas Rangers,2021,Panini,2021 Panini Select,RC,https://storage.googleapis.com/collx-user-cards/232360-369094501-front.jpg,
Baseball,49,Adrian Gonzalez,Los Angeles Dodgers,2013,Select,2013 Panini Select,,https://storage.googleapis.com/collx-user-cards/232360-369094327-front.jpg,
Baseball,34,Matt Kemp,Los Angeles Dodgers,2013,Select,2013 Panini Select,,https://storage.googleapis.com/collx-user-cards/232360-369094281-front.jpg,
Baseball,63,Norichika Aoki,Milwaukee Brewers,2013,Panini,2013 Panini Select,,https://storage.googleapis.com/collx-user-cards/232360-369094205-front.jpg,
Baseball,28,Tim Lincecum,San Francisco Giants,2013,Panini,2013 Panini Select,,https://storage.googleapis.com/collx-user-cards/232360-369094140-front.jpg,
Baseball,14,Mat Latos,Cincinnati Reds,2013,Prizm,2013 Panini Select - Prizm,,https://storage.googleapis.com/collx-user-cards/232360-369094031-front.jpg,
Baseball,124,Mike Piazza,Los Angeles Dodgers,2013,Select,2013 Panini Select,,https://storage.googleapis.com/collx-user-cards/232360-369093984-front.jpg,
Baseball,77,Brent Rooker,Minnesota Twins,2021,Topps,2021 Topps Gypsy Queen,RC,https://storage.googleapis.com/collx-user-cards/232360-369093893-front.jpg,
Baseball,136,Jazz Chisholm,Miami Marlins,2021,Panini,2021 Panini Prizm,RC,https://storage.googleapis.com/collx-user-cards/232360-369093794-front.jpg,
Baseball,81,Jarred Kelenic,Seattle Mariners,2021,Prizm,2021 Panini Prizm,RC,https://storage.googleapis.com/collx-user-cards/232360-369093770-front.jpg,
Baseball,106,Roger Clemens,Boston Red Sox,2013,Select,2013 Panini Select - Prizm,,https://storage.googleapis.com/collx-user-cards/232360-369093573-front.jpg,
Baseball,61,Paul Goldschmidt,Arizona Diamondbacks,2013,Select,2013 Panini Select,,https://storage.googleapis.com/collx-user-cards/232360-369093564-front.jpg,
Baseball,237,Carlos Correa,Houston Astros,2020,Panini,"2020 Panini Prizm - Red, White and Blue Prizm",,https://storage.googleapis.com/collx-user-cards/232360-369093186-front.jpg,
Baseball,166,Freddie Freeman,Atlanta Braves,2020,Prizm,"2020 Panini Prizm - Red, White and Blue Prizm",,https://storage.googleapis.com/collx-user-cards/232360-369093168-front.jpg,
Baseball,15,Ramon Laureano,Oakland Athletics,2020,Panini,2020 Panini Prizm - Purple Prizm,,https://storage.googleapis.com/collx-user-cards/232360-369093148-front.jpg,
Baseball,57,Michael Brantley,Houston Astros,2020,Panini,2020 Panini Prizm - Cosmic Haze Prizm,,https://storage.googleapis.com/collx-user-cards/232360-369093117-front.jpg,
Baseball,99,Adalberto Mondesi,Kansas City Royals,2020,Panini,2020 Panini Prizm - Purple Prizm,,https://storage.googleapis.com/collx-user-cards/232360-369093084-front.jpg,
Baseball,214,Albert Pujols,Los Angeles Angels,2020,Panini,2020 Panini Prizm - Red-Orange Prizm,,https://storage.googleapis.com/collx-user-cards/232360-369093059-front.jpg,
Baseball,121,Danny Duffy,Kansas City Royals,2020,Panini,"2020 Panini Prizm - Red, White and Blue Prizm",,https://storage.googleapis.com/collx-user-cards/232360-369093029-front.jpg,
Baseball,59,Ken Giles,Toronto Blue Jays,2020,Prizm,2020 Panini Prizm - Purple Prizm,,https://storage.googleapis.com/collx-user-cards/232360-369093008-front.jpg,
